g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YER044C	2.851298633736E-05	0.000029965180896	2.591232038514E-05	7.196738426388E-05	7.109704465416E-05	0.00006898040478
YER049W	2.659921440568E-05	0.0000277316421984	2.375532491598E-05	1.131920607006E-05	1.322418438264E-05	1.214142710228E-05
YER051W	5.801328629669E-07	0.0000005924817017	5.479246594395E-07	9.186851986074E-07	9.360036287568E-07	9.1932690983825E-07
YER053C	2.431622300184E-06	2.86959510992E-06	2.315940830082E-06	1.0501367934816E-05	1.0842725498352E-05	1.0276450087618E-05
YER057C	0.00026764537679532	0.0002836227808512	0.000247895910702	0.00050168944795878	0.00054146476495152	0.00055248425079336
YER059W	8.847356676928E-07	1.022966058912E-06	8.59625706456E-07	1.296626682015E-06	1.7591936174544E-06	1.4265193974364E-06
YER063W	3.515346931872E-05	0.0000366062049024	3.100612386924E-05	3.453893484876E-05	3.720476318352E-05	3.370097764632E-05
YER071C	3.04368339884E-07	3.1466679216E-07	2.91487426704E-07	4.402564804485E-07	5.19419946444E-07	4.180633262575E-07
YER073W	0.0007964302384962	0.0008712721017	0.0007170186420243	0.0005377485940596	0.0005971893208974	0.0005458635977949
YER077C	6.708500421132E-07	6.70034850576E-07	6.0992433589545E-07	1.47269939201685E-06	1.4822154383886E-06	1.4892103077078E-06
YER078C	3.47072324742E-06	0.0000035714030352	3.19375225026E-06	7.48886965398E-06	7.76949755868E-06	7.17086886087E-06
YER080W	2.01692116557312E-05	2.1014661314304E-05	1.84762080667584E-05	3.38601886834464E-05	3.6803714257728E-05	3.28596074296128E-05
YER081W	0.000335454734727168	0.00034564941594624	0.000306414871805952	0.00014366175178752	0.000173130014564352	0.000148212452416512
YER082C	3.73539715165344E-06	4.0709752745088E-06	3.32979661526526E-06	2.95194031323912E-06	3.11014863186552E-06	2.96216712586746E-06
YER083C	1.3694904592803E-05	1.344784886676E-05	1.24331211702495E-05	8.446193825202E-06	8.33999883633E-06	7.9672761097965E-06
YER093C	1.67106063611744E-06	1.7790759624064E-06	1.60709445397008E-06	2.53878792270912E-06	2.57991006971136E-06	2.34563014268656E-06
YER105C	1.95673465621152E-05	1.9049583297024E-05	1.82204399218752E-05	2.30906832972192E-05	2.46565157151744E-05	2.46235438207008E-05
YER107C	3.037113854775E-07	3.56601048804E-07	2.7646809476715E-07	1.95528433139325E-07	2.323427842593E-07	1.886988221118E-07
YER110C	0.0003627121861125	0.00038038729155	0.00033043569985125	0.000300625009689375	0.00031858941618	0.00029986965652875
YER112W	4.0336136545188E-05	0.0000415882912368	3.6399476011833E-05	3.1548440487762E-05	3.5663127945984E-05	3.2386005642837E-05
YER113C	1.3270602146322E-06	1.381523630648E-06	1.2178000033461E-06	1.3527218138931E-06	1.4103362015724E-06	1.2869235032243E-06
YER119C	1.6544207448672E-06	1.777228601344E-06	1.5476085125208E-06	4.5535674046824E-06	4.460356411632E-06	4.3016186146816E-06
