copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YDR152W	1083.505893	790.9032354	1110.275895	1087.458796	1265.672133	1015.089338	1109.102293	1208.747536	1253.893439	1192.469096
YDR153C	249.1199281	212.5679287	220.5234458	301.2391772	259.4205841	253.2180731	259.8906002	260.7945669	218.1085056	240.2770302
YDR155C	77578.39814	60097.38867	40768.08512	42732.7041	69506.51423	70364.21686	57660.2082	85665.43543	76469.39428	54082.36002
YDR158W	5178.733102	3617.997918	4402.083452	3138.395638	4911.728319	4684.648091	4302.27268	4816.324857	4810.696639	4224.572245
YDR164C	121.587657	125.4729718	120.8519699	127.860709	122.7363322	119.3179809	140.1204852	130.6560237	134.5938526	130.8443663
YDR165W	367.7944661	330.1655238	328.478466	347.9881006	389.0188824	366.1507409	406.8584024	405.7264018	397.0579365	359.8916496
YDR166C	47.59414443	36.09324578	90.08081618	0	0	0	0	0	0	49.00654199
YDR167W	20.24935842	19.72532156	26.22812128	23.71819097	20.26682168	20.05627938	19.54636408	18.53965797	20.81791092	18.41123378
YDR168W	1622.291596	1531.621422	1547.874763	1728.209448	1626.151679	1554.931347	1548.654248	2013.541264	2290.146376	1865.725737
YDR170C	286.6438006	317.5286193	304.4802948	336.2148776	228.3704174	255.8559676	231.8760694	232.3486979	262.3636588	259.2833293
YDR171W	70.28281827	35.73479982	21.21451342	27.01584654	70.96663384	67.94504481	47.30305613	69.64529605	66.50028076	27.52141251
YDR172W	69.74767781	71.70010417	55.76937183	63.78296762	70.83639044	76.25904915	72.11866832	78.64347641	75.1124488	83.97225307
YDR174W	4865.328556	5821.322569	8347.675917	11229.08823	4957.749911	4984.789567	4378.274021	5630.884945	6125.058763	5335.864231
YDR175C	876.729958	791.0760458	1506.111597	1159.275836	831.6360236	800.2873252	725.1359234	704.7012902	639.8608046	512.645329
YDR177W	10121.0748	8124.990296	8640.737912	9688.788391	9689.61197	10085.99149	9935.380309	11708.83608	12050.19518	10188.01392
YDR179C	0	0	0	0	0	0	0	0	0	0
YDR183W	0	0	0	0	0	0	0	0	0	0
YDR188W	2583.833341	2493.134611	2533.035244	3054.618298	2726.350845	2734.819837	3078.096376	2568.582507	2730.814208	2727.241783
YDR189W	755.2358451	837.6154731	672.0468964	823.6436033	761.8042497	765.4095509	743.8419333	813.9926632	833.5363711	729.3331789
YDR190C	1605.91394	1530.556696	1289.975553	1437.990189	1697.588345	1666.220535	1591.328812	1770.445714	1941.277313	1494.535768
YDR194C	752.6743853	613.9412299	1099.874783	1219.98318	885.2174934	799.8357551	887.2176465	605.1490417	603.480759	1169.785661
YDR195W	0	0	0	0	0	0	0	0	0	0
YDR196C	1219.867832	356.6273424	433.7572437	497.3402899	241.7010436	229.7659496	269.5641296	331.4042554	422.1583337	321.8536463
YDR198C	0	0	0	0	0	0	0	0	0	0
YDR202C	0	0	0	0	0	0	0	0	0	0
YDR211W	1014.297421	900.69907	1072.143258	1357.420921	1064.899195	1110.410578	1126.798408	1045.10044	1167.700867	1234.70897
YDR212W	1214.929128	1150.061588	1299.877103	1496.485209	1354.503689	1284.017558	1364.176885	1195.412744	1346.915624	1204.203787
YDR214W	4883.266049	5122.85538	4873.311915	4449.608739	5019.739927	4561.284541	4847.644333	6647.46879	8073.314354	8640.033028
YDR226W	10098.08325	12162.38287	14537.27924	10347.39608	12279.1675	12120.87531	14002.74729	12456.98567	12574.41441	11791.14223
YDR227W	0	0	0	0	0	0	0	0	0	0
YDR229W	153.3576908	162.9706549	149.0051805	208.4729891	0	121.7727586	118.0710827	162.2551678	209.2718285	131.5615172
YDR231C	336.1840989	472.2533756	410.4697569	328.2342205	380.0407298	454.7439201	395.5764564	392.4757542	344.4132675	295.173866
YDR232W	749.2701797	740.8699901	873.657182	821.2562471	937.9379271	899.2568115	1051.29128	691.5364008	633.5115491	923.5295788
YDR233C	11457.91394	13507.60249	9866.050909	10451.2214	12553.76416	12219.44516	11562.50221	13777.35682	13834.72237	10564.25243
YDR234W	3310.577509	2797.645073	3575.128076	3102.424186	3329.359179	3391.055683	3664.33163	3695.479961	3280.745158	2135.892495
YDR236C	597.5590123	606.5526851	0	379.3052522	428.9981165	402.1499423	0	442.1833984	530.3569937	614.5797427
YDR237W	331.6793099	263.428269	520.1176964	460.979885	317.3578986	308.522829	297.6199187	264.7516505	268.862595	272.2194962
YDR238C	762.5120939	754.9819023	662.7258605	781.3588259	741.7292364	726.9689057	738.1474809	674.9155399	661.8810096	667.8194729
YDR240C	0	0	0	0	0	0	0	0	0	0
YDR245W	500.3005053	407.7090629	469.287037	570.4257157	594.8272795	405.4834816	636.0804329	479.0958657	596.5503811	392.7014001
YDR246W	489.2047759	456.6473513	459.3513337	487.9006629	451.0040012	466.8763809	395.5902152	530.7349046	436.8330943	450.6765555
YDR248C	808.4200653	816.9866273	524.5345257	806.4448223	865.234652	809.6900185	848.39147	884.5939712	944.0317945	623.3696026
YDR251W	20.2696654	24.85696986	35.7111256	45.59052544	26.42912759	29.86729397	42.52854321	0	13.81135773	34.35520743
YDR257C	80.72803363	61.51150551	97.69677616	124.2537494	98.57238651	89.30148179	87.54100369	85.31302656	68.44903662	66.49095291
YDR258C	5723.632384	5545.840114	6202.229356	7504.700685	5431.24795	5109.449002	4949.996849	6912.045954	8901.978948	13960.50792
YDR262W	0	0	0	0	0	0	0	0	0	0
YDR267C	452.8163628	471.7863825	738.3615726	401.1405011	461.6861481	454.9857034	491.8566712	450.6907808	598.2255989	357.516736
YDR268W	103.0430879	157.7499748	176.1701146	180.5855494	121.6781612	110.0576578	96.06145497	120.7901325	132.7516172	188.7737068
YDR272W	765.1657139	675.9835881	886.4211079	1098.27555	892.1430238	971.0775478	1067.552439	610.5204575	551.020155	489.0960106
YDR279W	0	0	0	0	0	0	0	0	0	0
YDR280W	670.6969514	504.5347931	769.7526011	803.5550232	701.5390811	923.7774436	1330.999901	754.0627819	825.9381044	886.942794
YDR292C	317.8108496	320.8447016	217.5982069	222.7919595	321.6405374	338.1230765	348.014146	326.1125697	306.9823401	294.668675
YDR293C	46.86794023	51.19848782	52.32546957	57.30141686	47.91430279	48.60277839	49.81283588	54.08674971	52.48878752	57.94524168
YDR294C	565.149797	468.6217327	465.6647119	491.0260552	448.5521247	465.2727599	406.4381471	672.6708654	732.2751766	455.8781558
YDR295C	37.1321442	34.32084824	31.85102429	44.94512044	0	41.46252164	0	32.94294861	34.36640489	45.96515463
