fmol/mgCDW	Yu2020_ClimR1	Yu2020_ClimR2	Yu2020_CN30R1	Yu2020_CN30R2	Yu2020_CN50R1	Yu2020_CN50R2	Yu2020_CN115R1	Yu2020_CN115R2
YBL056W	104.036661773066	90.7717845374802	110.097827885391	137.563625168952	74.0041577224131	91.4405301001697	95.0764258660618	113.024531794231
YBR125C	283.437134327613	227.636078031416	148.015815295827	128.355809891172	73.6248897054182	74.5496510739376	146.193587408293	88.6079819842021
YOR090C	25.4183715662249	27.789985805047	19.5017146471764	19.6605011882273	12.3353672657176	10.7616656380814	13.4241056500262	13.0861062860125
YCR079W	17.1047830285319	18.1024674643219	17.5114980315535	17.0511236431011	11.3323773954001	11.1038567272614	11.187651311697	13.9270896490148
YHR076W	86.0606358431724	65.508842208982	51.6284362248593	49.9175523733533	28.328079811683	26.1992489541404	55.5778714816604	34.0163965770028
YBL057C	160.222816108398	160.634670835829	149.00668433991	170.570382956661	120.711041234523	100.732688812802	206.575275993004	134.32988545578
YGR156W	97.6223330270472	150.578373398581	151.445177672032	187.380573320249	98.2105320820842	126.696965542257	70.6172139862945	151.080915235364
YJR059W	14.6903214840327	18.0214627152983	18.5629838740011	18.8874346310897	11.3750239203106	12.5908937113937	8.40881381410309	15.0224712100044
YKL039W	359.551159758891	357.85577833272	313.4001198817	257.382838854178	129.216649299957	131.031722533694	124.942086180771	175.23638170893
YDL230W	5.92192484831198	5.72160552153122	4.63311031487106	4.66082806824779	3.18314974078173	3.24075679687544	4.64809156537574	3.87672796040047
YER075C	72.8613290220312	89.7187465930883	86.3055474794605	86.3133152117657	38.450274910347	41.4225832922119	28.2066498564165	48.8914017504799
YFR029W	25.1452651707656	30.6018545235645	27.6363139821057	24.4309713764704	14.1888714065909	14.2919932855006	9.03435050671689	15.5195369059285
YNL016W	623.936556591328	832.544824119386	898.547604505758	1225.9222535158	482.28949733995	1372.0395921063	1744.506842866	1370.24969225892
YPR042C	16.5463182987765	20.201112104824	17.6298204419208	19.9646292200473	10.5839989117973	11.9174117201559	6.4194198490729	13.7291785156958
YLL013C	607.095373220847	748.602181987938	342.157604812847	348.775863048967	150.120302293697	154.120325984814	76.2611135651982	176.598794158264
YGL014W	88.653147913974	93.6686708723001	77.1950367618396	66.9976337720832	43.4313337207692	40.7885409907441	44.113540516268	48.0468500258475
YDR496C	1242.79961903334	1431.46310064623	677.232713510442	679.720729805338	345.395203291312	345.004926225446	197.13426792885	451.002846824624
YLR414C	1201.58780285691	1284.76649996826	1011.66930530567	821.289011394387	459.265969030044	492.11044439098	347.470131045423	639.41873876186
YOR157C	852.665470978737	899.49855270376	820.903067256087	970.501005611675	781.986664750612	718.368984779808	709.833155390228	911.982871586772
YGR253C	463.300360676857	1083.05680499285	665.571435747961	1041.05459593467	421.100142147441	1112.47881231228	253.14850865083	1046.89587533593
YPL212C	361.445597440488	356.100240468877	292.466195429557	307.591885235164	172.053677523742	172.16453293821	183.793721486108	228.220167759681
YNL292W	45.6149279098464	47.558529694493	36.7690633550427	51.5593696607717	35.1054584571692	28.423877969383	35.1537888755708	41.1092148124964
YGR169C	6.7717772447125	6.94454858734045	4.76919364654375	4.86487376754803	3.26460039086282	2.50676579228082	3.35560993413328	3.55926046783569
YOR243C	57.8465623137246	55.1365889796456	53.7162012716638	65.9663868532657	45.6753847010462	41.8573246028139	56.1347229870469	53.8031100374797
YDL036C	2.9266189252999	2.64110410834799	1.78570787936862	1.92122228486923	1.16285322685124	1.11139156959095	1.73881488552355	1.33189377321432
YLR142W	38.579296310189	40.7848230144892	228.105793834038	235.836009060371	192.956734685758	179.128378276066	218.319112919529	220.918642731475
YHR037W	1398.56898342249	1138.63306922784	2496.50863711779	2418.68644445161	1724.67823810741	1724.13699223833	2652.33228859788	2093.11154078394
YKL015W	2.5476161402293	2.70832473216221	2.26855956230377	2.47919098041845	2.13233308781264	1.52161152857131	3.12082330509357	2.16210267312951
YOR348C	39.2025408132685	33.6184875974204	151.328359670633	178.166536071177	111.129041756235	98.221436959886	94.4849342519692	123.644271425613
YLR196W	655.612218510473	611.643179633002	323.078255612498	300.071162817548	164.430226463181	160.655482267783	231.968531165559	195.516671884059
YCR057C	131.922503867288	159.45049659158	109.177547258349	125.120203005538	80.7546304427377	78.8291272484855	90.7013346766185	103.150075904108
YKL188C	1.35127724220754	1.24241786238624	0.38355722715661	0.414233184451211	0.267020350566337	0.2448367142484	0.28379703274508	0.312251601538439
YGR280C	12.691922367657	14.9907049537719	9.37418174936516	11.3869928102901	5.75657396990341	6.51566039459011	9.19857938059781	7.65944700392297
YGL062W	353.793999800792	434.480975654077	289.489218630193	293.505809184875	158.726359861844	166.972639827002	163.425101574745	290.559409302684
